name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
London UK,2025-09-18,71.7,62,66.3,71.7,62,66.3,60.7,82.6,0,0,0,rain,0,0,32.4,14.3,225.4,1018.7,91.5,13.5,110.3,9.5,5,10,2025-09-18T06:40:26,2025-09-18T19:07:51,0.88,Overcast,Cloudy skies throughout the day.,cloudy,"EGWU,EGLL,D5621,EGLC"
London UK,2025-09-19,77.3,58.7,65.9,77.3,58.7,65.9,58.6,79.3,0,3.2,0,,0,0,20.1,8.1,194.2,1017.7,51.8,15,174.8,15,6,10,2025-09-19T06:42:02,2025-09-19T19:05:32,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London UK,2025-09-20,70.4,56,62.9,70.4,56,62.9,56,78.7,0.016,32.3,16.67,rain,0,0,40.5,16.3,215.5,1010.3,74.2,14.3,97.6,8.5,4,10,2025-09-20T06:43:38,2025-09-20T19:03:14,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London UK,2025-09-21,61.8,51.3,56.5,61.8,51.3,56.5,46.8,71.3,0,45.2,0,rain,0,0,20.1,8.5,280.2,1013.8,59.3,14,168.9,14.7,6,10,2025-09-21T06:45:14,2025-09-21T19:00:55,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain.,rain,
London UK,2025-09-22,62,48.3,54.8,62,46,54.4,45.2,71.7,0,45.2,0,rain,0,0,23.9,11.4,37.3,1018.9,82.2,14.9,96.8,8.3,5,10,2025-09-22T06:46:51,2025-09-22T18:58:37,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
London UK,2025-09-23,60.5,51.2,55.3,60.5,51.2,55.3,39.8,57,0,38.7,0,,0,0,21,9.6,17.3,1016.5,49.1,15,163.9,14.1,5,10,2025-09-23T06:48:27,2025-09-23T18:56:18,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London UK,2025-09-24,62.3,48.6,55.2,62.3,45.9,54.8,38.7,55.5,0,29,0,,0,0,19.2,7.6,357.6,1024.9,5.2,15,180.5,15.6,5,10,2025-09-24T06:50:04,2025-09-24T18:54:00,0.09,Clear,Clear conditions throughout the day.,clear-day,
London UK,2025-09-25,63.9,50.1,56.9,63.9,50.1,56.9,37.2,48.3,0,6.5,0,,0,0,7.8,3.8,335.7,1028.4,5.1,15,158.3,13.8,5,10,2025-09-25T06:51:41,2025-09-25T18:51:42,0.12,Clear,Clear conditions throughout the day.,clear-day,
London UK,2025-09-26,64.3,51,57.4,64.3,51,57.4,41.5,56.1,0.008,6.5,4.17,rain,0,0,15.2,8.5,47,1028,39.8,15,151.3,13.1,5,10,2025-09-26T06:53:18,2025-09-26T18:49:24,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London UK,2025-09-27,60.5,51.5,56.3,60.5,51.5,56.3,43.6,63.2,0,12.9,0,,0,0,12.1,6.9,19.7,1025.7,75.9,15,87.5,7.5,3,10,2025-09-27T06:54:55,2025-09-27T18:47:06,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London UK,2025-09-28,57.5,54,55.5,57.5,54,55.5,44.9,67.6,0.032,38.7,16.67,rain,0,0,20.1,7.6,306.5,1017.9,99.8,15,30.5,2.4,1,10,2025-09-28T06:56:32,2025-09-28T18:44:49,0.22,Overcast,Cloudy skies throughout the day.,cloudy,
London UK,2025-09-29,53.9,48.1,51,53.9,45.8,50.1,45.6,82,0.37,38.7,20.83,rain,0,0,16.9,7.2,313.5,1011.3,97.2,12.7,59,4.8,3,10,2025-09-29T06:58:10,2025-09-29T18:42:31,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
London UK,2025-09-30,56.2,47.9,51.1,56.2,47.5,50.9,44.6,78.4,0.047,22.6,8.33,rain,0,0,9.4,4.4,266.9,1013.9,94.6,14.9,40.5,3.6,2,10,2025-09-30T06:59:48,2025-09-30T18:40:14,0.25,Overcast,Cloudy skies throughout the day.,cloudy,
London UK,2025-10-01,62.1,47.6,54.7,62.1,45.6,54.3,43.6,68.3,0.004,25.8,4.17,rain,0,0,14.5,7.8,314.2,1024.3,31,15,144.9,12.5,5,10,2025-10-01T07:01:26,2025-10-01T18:37:58,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
London UK,2025-10-02,63.2,49.9,56.2,63.2,49.5,56.2,39.8,55.7,0,25.8,0,,0,0,7.4,4,82.2,1028.5,59.6,15,139.8,12.5,5,10,2025-10-02T07:03:04,2025-10-02T18:35:41,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
